file,title,author,current_t,note_year,master_id,master_time,suggested_t,status,confidence,evidence,verification_status,id
A Lady's Life in the Rocky Mountains.md,A Lady's Life in the Rocky Mountains,伊莎贝拉·伯德,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1342
A Tour on the Prairies.md,A Tour on the Prairies,华盛顿·欧文,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2157
A Woman's Journey Round the World.md,A Woman's Journey Round the World,伊达·普费弗尔,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1345
Allan Quatermain.md,Allan Quatermain,哈格德,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-0492
Aniceto el Gallo.md,Aniceto el Gallo,阿斯卡苏比,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2160
Astoria.md,Astoria,华盛顿·欧文,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2163
"Astucia, el jefe de los Hermanos de la Hoja.md","Astucia, el jefe de los Hermanos de la Hoja",路易斯·G.因克兰,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2164
Battle-Pieces.md,Battle-Pieces,赫尔曼·麦尔维尔,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1943
Benito Cereno.md,Benito Cereno,赫尔曼·麦尔维尔,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2169
Drum-Taps.md,Drum-Taps,沃尔特·惠特曼,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-1957
El gaucho Martín Fierro.md,El gaucho Martín Fierro,何塞·埃尔南德斯,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2205
El Zarco.md,El Zarco,伊格纳西奥·曼努埃尔·阿尔塔米拉诺,T3,1888,,,T3,PASS,HIGH,note.year=1888,自动通过,WL-WORK-2214
Facundo／ Civilization and Barbarism.md,Facundo: Civilization and Barbarism,萨米恩托,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2224
Hormiga Negra.md,Hormiga Negra,爱德华多·古铁雷斯,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2241
Indulekha.md,Indulekha,O·钱杜·梅农,T3,,,,,REVIEW,,缺少可靠年代证据,手工核验,WL-WORK-T3-INDULEKHA
İntibah.md,İntibah,纳默克·凯末尔,T3,1876,,,T3,PASS,HIGH,note.year=1876,手工核验,WL-WORK-R1-INTIBAH
Jerilderie Letter.md,Jerilderie Letter,内德·凯利,T3,1879,,,T3,PASS,HIGH,note.year=1879,自动通过,WL-WORK-2251
Johnnie Armstrong.md,Johnnie Armstrong,沃尔特·司各特,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2252
Juan Cuello.md,Juan Cuello,爱德华多·古铁雷斯,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2254
Kinmont Willie.md,Kinmont Willie,沃尔特·司各特,T3,,,,,REVIEW,,缺少可靠年代证据,自动通过,WL-WORK-2257
