file,title,author,year,current_t,current_axis_t,suggested_t_by_year,status,reason,verification_status,id
万叶集.md,万叶集,多人,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-3179
伊本·白图泰游记.md,伊本·白图泰游记,伊本·白图泰,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,人工核验,WL-WORK-T1-RIHLA
十日谈.md,十日谈,乔万尼·薄伽丘,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-2813
古今和歌集.md,古今和歌集,多人（纪贯之等编）,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-3180
哈里里玛卡梅集.md,哈里里玛卡梅集,哈里里,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-3188
坎特伯雷故事集.md,坎特伯雷故事集,杰弗里·乔叟,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-2812
太平广记.md,太平广记,李昉等编,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,人工核验,WL-WORK-T1-TAIPING-GUANGJI
库萨里.md,库萨里,犹大·哈列维,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,人工核验,WL-WORK-T1-KUZARI
徒然草.md,徒然草,吉田兼好,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-3181
悬诗.md,悬诗,多位诗人,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-3187
新编五代史平话.md,新编五代史平话,佚名,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,人工核验,WL-WORK-T1-WUDAI-PINGHUA
李白诗选.md,李白诗选,李白,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-3183
杜甫诗选.md,杜甫诗选,杜甫,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-3184
枕草子.md,枕草子,清少纳言,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-2810
果园.md,果园,萨迪,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-3166
玛斯纳维.md,玛斯纳维,鲁米,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-3165
神曲.md,神曲,但丁,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-2811
蔷薇园.md,蔷薇园,萨迪,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-3186
鲁拜集.md,鲁拜集,欧玛尔·海亚姆,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-2821
鸟的会议.md,鸟的会议,阿塔尔,,T1,T1 中古多中心文学世界,,REVIEW,缺少可机器读取的 year；需要按成书/定稿/首次发表史人工核验,需复核,WL-WORK-2822
