n,file,title,author,current_t
1,Darangen.md,Darangen,佚名,T0
2,Diné Bahaneʼ：纳瓦霍创世故事.md,Diné Bahaneʼ：纳瓦霍创世故事,佚名,T0
3,Ozidi Saga.md,Ozidi Saga,佚名,T0
4,云使.md,云使,迦梨陀娑,T0
5,以诺一书.md,以诺一书,佚名,T0
6,伊利亚特.md,伊利亚特,荷马,T0
7,伊南娜下降冥界.md,伊南娜下降冥界,佚名,T0
8,伊南娜与杜穆兹.md,伊南娜与杜穆兹,佚名,T0
9,会饮篇.md,会饮篇,柏拉图,T0
10,但以理书.md,但以理书,佚名,T0
11,俄狄浦斯王.md,俄狄浦斯王,索福克勒斯,T0
12,俄瑞斯忒亚.md,俄瑞斯忒亚,埃斯库罗斯,T0
13,凯雷特史诗.md,凯雷特史诗,佚名,T0
14,出埃及记.md,出埃及记,佚名,T0
15,创世记.md,创世记,佚名,T0
16,历史.md,历史,希罗多德,T0
17,变形记.md,变形记,奥维德,T0
18,史记.md,史记,司马迁,T0
19,史记·刺客列传.md,史记·刺客列传,司马迁,T0
20,史记·游侠列传.md,史记·游侠列传,司马迁,T0
21,吉尔伽美什史诗.md,吉尔伽美什史诗,佚名,T0
22,吕西斯特拉忒.md,吕西斯特拉忒,阿里斯托芬,T0
23,埃努玛·埃利什.md,埃努玛·埃利什,佚名,T0
24,埃及亡灵书.md,埃及亡灵书,佚名,T0
25,埃拉史诗.md,埃拉史诗,佚名,T0
26,埃涅阿斯纪.md,埃涅阿斯纪,维吉尔,T0
27,太阳传说.md,太阳传说,佚名,T0
28,奥德赛.md,奥德赛,荷马,T0
29,女神颂.md,女神颂,佚名,T0
30,女英雄书简.md,女英雄书简,奥维德,T0
31,姆温多史诗.md,姆温多史诗,佚名,T0
32,安提戈涅.md,安提戈涅,索福克勒斯,T0
33,山海经.md,山海经,佚名,T0
34,岁时记.md,岁时记,奥维德,T0
35,工作与时日.md,工作与时日,赫西俄德,T0
36,巴力神话组诗.md,巴力神话组诗,佚名,T0
37,巴里公主.md,巴里公主,佚名,T0
38,希波吕托斯.md,希波吕托斯,欧里庇得斯,T0
39,庄子.md,庄子,庄周及后学,T0
40,恩基与宁玛赫.md,恩基与宁玛赫,佚名,T0
41,恩基与宁胡尔萨格.md,恩基与宁胡尔萨格,佚名,T0
42,摩诃婆罗多.md,摩诃婆罗多,毗耶娑,T0
43,斯里拉玛传.md,斯里拉玛传,佚名,T0
44,本生经.md,本生经,佚名,T0
45,梨俱吠陀.md,梨俱吠陀,佚名,T0
46,棺椁铭文.md,棺椁铭文,佚名,T0
47,楚辞.md,楚辞,屈原等,T0
48,楚辞·九歌.md,楚辞·九歌,屈原,T0
49,楚辞·天问.md,楚辞·天问,屈原,T0
50,毗湿奴往世书.md,毗湿奴往世书,佚名,T0
51,沙恭达罗.md,沙恭达罗,迦梨陀娑,T0
52,爱的艺术.md,爱的艺术,奥维德,T0
53,爱经.md,爱经,奥维德,T0
54,理想国.md,理想国,柏拉图,T0
55,神谱.md,神谱,赫西俄德,T0
56,约伯记.md,约伯记,佚名,T0
57,罗摩衍那.md,罗摩衍那,蚁垤,T0
58,美狄亚.md,美狄亚,欧里庇得斯,T0
59,老人与古人的谈话.md,老人与古人的谈话,佚名,T0
60,脚镯记.md,脚镯记,伊兰戈·阿迪伽尔（传统归属）,T0
61,船难水手的故事.md,船难水手的故事,佚名,T0
62,荷马颂歌.md,荷马颂歌,佚名,T0
63,荷鲁斯与塞特之争.md,荷鲁斯与塞特之争,佚名,T0
64,萨蒂利孔.md,萨蒂利孔,佩特罗尼乌斯,T0
65,薄伽梵歌.md,薄伽梵歌,佚名,T0
66,论语.md,论语,孔子弟子及再传弟子编纂,T0
67,诗经.md,诗经,佚名,T0
68,贺拉斯颂歌.md,贺拉斯颂歌,贺拉斯,T0
69,辛努赫传.md,辛努赫传,佚名,T0
70,酒神的伴侣.md,酒神的伴侣,欧里庇得斯,T0
71,酒神的女信徒.md,酒神的女信徒,欧里庇得斯,T0
72,金字塔铭文.md,金字塔铭文,佚名,T0
73,阿伽门农.md,阿伽门农,埃斯库罗斯,T0
74,阿卡特史诗.md,阿卡特史诗,佚名,T0
75,阿特拉哈西斯史诗.md,阿特拉哈西斯史诗,佚名,T0
76,阿维斯塔.md,阿维斯塔,佚名,T0
77,陶渊明诗选.md,陶渊明诗选,陶渊明,T0
78,高人的箴言.md,高人的箴言,佚名,T0
